Image,whaleID,is_train,callosity,bbox1_x,bbox1_y,bbox2_x,bbox2_y,bonnet_x,bonnet_y,blowhead_x,blowhead_y,height,width
w_1.jpg,whale_72820,1,0,1292.0569550930995,753.6998904709748,1749.6604600219055,1184.3855421686744,1361.8785425101214,864.3886639676114,1573.3117408906885,903.7732793522267,2048,3072
w_100.jpg,whale_66711,1,0,1165.5057034220533,311.21926489226865,1393.1761723700888,601.5513307984793,1242.1615154536391,573.4317048853443,1289.8105682951145,384.4785643070787,1648,2464
w_1000.jpg,whale_64496,1,2,1476.9480354879593,830.6210392902408,1801.4093789607095,1173.252217997465,1633.4995014955136,908.6340977068793,1615.1226321036884,1057.6909272183448,2048,3072
w_1003.jpg,whale_48490,1,0,2027.6106194690265,702.3008849557523,2535.079646017699,1230.1592920353985,2431.872382851445,784.0797607178464,2209.3080757726816,939.26221335992,2048,3072
w_1004.jpg,whale_70138,1,2,3372.3870967741937,1401.5115207373276,4005.4562211981565,1919.1152073732721,3972.8494516450646,1567.7766699900305,3583.489531405783,1550.5483549351943,3456,5184
w_1005.jpg,whale_39689,1,2,2150.655574043261,437.0316139767055,2961.4642262895172,1150.0831946755409,2625.595214356929,565.0887337986043,2573.910269192423,854.5244267198407,3456,5184
w_1006.jpg,whale_47734,0,0,1235.5487959442332,1014.9150823827628,1804.005069708492,1619.7110266159696,1423.186440677966,1421.1445663010966,1525.2801595214355,1155.7008973080756,2048,3072
w_1007.jpg,whale_36648,1,2,1285.783590963139,998.4304399524376,1575.5719381688464,1237.0796670630198,1382.3489531405787,1067.9002991026919,1500.7776669990023,1149.5752741774675,2048,3072
w_1011.jpg,whale_19027,1,0,853.3333333333335,738.5212121212121,1483.2484848484848,1359.1272727272728,1076.0677966101694,822.8753738783647,1349.6789631106678,1027.062811565304,2048,3072
w_1012.jpg,whale_34798,1,2,2372.072727272727,1220.0727272727272,3037.090909090909,1895.5636363636365,2777.2043868394812,1264.5583250249256,2653.160518444666,1595.3419740777667,3456,5184
w_1014.jpg,whale_58362,1,2,490.7021630615641,521.3710482529118,1301.7237936772044,981.4043261231282,790.2053838484544,641.148554336989,996.4346959122632,706.4885343968095,2048,3072
w_1016.jpg,whale_86527,1,2,1244.3151515151515,822.3030303030303,1861.818181818181,1414.9818181818182,1731.5094715852442,1235.333998005982,1500.7776669990023,988.2671984047856,2048,3072
w_1017.jpg,whale_75455,1,2,734.0176991150443,976.424778761062,1350.2300884955753,1502.0176991150445,861.6709870388833,1314.9670987038885,1139.3659022931206,1125.0727816550348,2048,3072
w_1024.jpg,whale_72235,1,0,2182.087990487515,1434.1783590963141,2769.7312722948877,1898.53983353151,2346.4965104685944,1509.2003988035892,2622.1495513459618,1612.5702891326025,3456,5184
w_1026.jpg,whale_82387,1,0,1293.0891795481568,920.5041617122473,1794.7395957193814,1412.413793103448,1419.1026919242272,1284.3389830508474,1498.7357926221334,1061.7746759720835,2048,3072
w_1029.jpg,whale_81768,1,2,1783.7419354838712,1178.5437788018435,2345.142857142857,1871.3364055299546,2012.267198404785,1312.797607178465,2160.430707876371,1643.5812562313065,3456,5184
w_1031.jpg,whale_58474,1,0,1379.539978094195,852.3986856516977,1778.8214676889374,1195.6013143483024,1488.5264207377866,914.7597208374876,1574.285144566301,1008.6859421734796,2048,3072
w_1033.jpg,whale_82387,1,0,861.7693282636247,446.4588086185044,1482.1394169835235,869.5564005069708,1384.3908275174474,663.6091724825523,1092.4027916251246,565.5992023928213,2048,3072
w_1035.jpg,whale_63541,1,2,1093.4030915576693,659.9381688466111,1563.3959571938171,986.2544589774077,1202.6640079760714,822.8753738783647,1476.2751744765699,808.5822532402791,2048,3072
w_1037.jpg,whale_61924,1,0,1349.7591888466413,1139.5082382762994,1580.7756653992394,1466.5652724968313,1453.8145563310068,1404.8095712861414,1447.6889332003989,1216.9571286141575,2048,3072
w_1038.jpg,whale_41776,1,2,1458.682520808561,776.8275862068965,1814.221165279429,1112.8846611177166,1562.0338983050851,818.7916251246263,1664.1276171485545,953.555333998006,2048,3072
w_1039.jpg,whale_26397,1,0,899.6206322795341,817.8369384359403,1584.5590682196341,1315.3544093178034,988.2671984047856,1029.1046859421733,1255.7527417746758,1020.9371884346956,2048,3072
w_1040.jpg,whale_82089,1,0,1118.742712294043,1191.4220532319393,1560.0101394169837,1510.6920152091254,1169.9940179461614,1312.9252243270191,1455.856430707876,1355.804586241276,2048,3072
w_1041.jpg,whale_12074,0,0,1326.0092165898618,629.9723502304147,1826.21198156682,1158.4884792626724,1433.395812562313,980.099700897308,1619.2063808574273,761.6191425722833,2048,3072
w_1043.jpg,whale_24815,1,2,1240.3860232945092,923.4742096505825,1809.4642262895165,1386.9151414309486,1594.7038883349949,1029.1046859421733,1229.2083748753735,1120.989032901296,2048,3072
w_1044.jpg,whale_48966,1,2,1283.5391705069126,655.926267281106,1618.5806451612902,1118.3778801843318,1417.0608175473578,735.074775672981,1474.2333000997007,898.4247258225322,2048,3072
w_1045.jpg,whale_33961,1,0,1556.0903686087988,771.9571938168846,1977.379310344828,1144.542211652794,1884.6500498504486,902.5084745762712,1666.1694915254236,912.717846460618,2048,3072
w_1046.jpg,whale_16406,1,0,1446.3410138248846,745.5852534562213,1911.1520737327191,1028.7188940092167,1811.1425722831507,845.3359920239283,1527.3220338983047,882.0897308075772,2048,3072
w_1047.jpg,whale_66205,1,0,1309.4930875576038,910.746543778802,1644.5345622119814,1198.5990783410139,1423.186440677966,1149.5752741774675,1461.9820538384845,969.8903290129608,2048,3072
w_1050.jpg,whale_81818,1,0,1251.6801752464405,450.8740416210297,1774.3351588170865,1043.0668127053668,1559.9920239282153,553.3479561316052,1461.9820538384845,808.5822532402791,2048,3072
w_1051.jpg,whale_40169,1,2,1257.424292845258,1032.5191347753744,1840.133111480865,1615.2279534109814,1613.0807577268195,1519.1545363908276,1584.4945164506478,1159.7846460618146,2048,3072
w_1052.jpg,whale_24815,0,2,1184.3855421686744,275.907995618839,1576.9375684556408,695.3778751369114,1506.9032901296112,590.1016949152541,1310.8833499501495,404.2911266201396,2048,3072
w_1053.jpg,whale_08439,1,0,1557.721212121212,819.2,2007.6606060606061,1340.5090909090911,1658.001994017946,1196.5383848454635,1819.310069790628,1022.9790628115652,2048,3072
w_1054.jpg,whale_82064,1,2,606.5623960066556,1346.0232945091514,1243.793677204659,1799.2412645590682,728.9491525423729,1470.149551345962,1059.7328015952144,1496.693918245264,2048,3072
w_1056.jpg,whale_43326,0,2,1166.7393939393942,719.9030303030303,1501.8666666666666,1101.5757575757575,1464.023928215354,816.7497507477568,1233.2921236291127,833.0847457627118,2048,3072
w_1057.jpg,whale_36154,1,0,1663.2242424242424,1126.4,2038.690909090909,1461.5272727272727,1972.4506480558325,1374.1814556331005,1790.7238285144565,1223.0827517447656,2048,3072
w_1062.jpg,whale_36437,1,0,1509.8216409036859,784.1331747919144,1989.555291319857,1315.0059453032104,1645.7507477567294,906.59222333001,1805.0169491525423,1086.2771684945164,2048,3072
w_1063.jpg,whale_40169,0,2,1185.3575757575754,639.2242424242424,1542.2060606060604,1098.4727272727273,1441.5633100697908,716.6979062811565,1216.9571286141575,914.7597208374876,2048,3072
